dataset,pruning,seed,epsilon,property_group,result
MNIST,prune0.2,40.0,0.007,0-49,26
MNIST,prune0.2,40.0,0.007,50-99,32
MNIST,prune0.2,40.0,0.008,0-49,4
MNIST,prune0.2,40.0,0.008,50-99,9
MNIST,prune0.2,50.0,0.006,0-49,33
MNIST,prune0.2,50.0,0.006,50-99,35
MNIST,prune0.2,50.0,0.007,0-49,15
MNIST,prune0.2,50.0,0.007,50-99,22
MNIST,prune0.2,50.0,0.008,0-49,1
MNIST,prune0.2,50.0,0.008,50-99,6
MNIST,prune0.2,60.0,0.006,0-49,47
MNIST,prune0.2,60.0,0.006,50-99,45
MNIST,prune0.2,60.0,0.007,0-49,32
MNIST,prune0.2,60.0,0.007,50-99,33
MNIST,prune0.2,60.0,0.008,0-49,8
MNIST,prune0.2,60.0,0.008,50-99,13
MNIST,prune0.2,70.0,0.006,0-49,20
MNIST,prune0.2,70.0,0.006,50-99,24
MNIST,prune0.2,70.0,0.007,0-49,1
MNIST,prune0.2,70.0,0.007,50-99,2
MNIST,prune0.2,70.0,0.008,0-49,0
MNIST,prune0.2,70.0,0.008,50-99,0
MNIST,prune0.2,80.0,0.006,0-49,24
MNIST,prune0.2,80.0,0.006,50-99,30
MNIST,prune0.2,80.0,0.007,0-49,2
MNIST,prune0.2,80.0,0.007,50-99,8
MNIST,prune0.2,80.0,0.008,0-49,0
MNIST,prune0.2,80.0,0.008,50-99,0
MNIST,prune0.2,90.0,0.006,0-49,45
MNIST,prune0.2,90.0,0.006,50-99,46
MNIST,prune0.2,90.0,0.007,0-49,31
MNIST,prune0.2,90.0,0.007,50-99,31
MNIST,prune0.2,90.0,0.008,0-49,8
MNIST,prune0.2,90.0,0.008,50-99,12
MNIST,prune0.2,100.0,0.006,0-49,42
MNIST,prune0.2,100.0,0.006,50-99,40
MNIST,prune0.2,100.0,0.007,0-49,18
MNIST,prune0.2,100.0,0.007,50-99,26
MNIST,prune0.2,100.0,0.008,0-49,4
MNIST,prune0.2,100.0,0.008,50-99,4
MNIST,prune0.3,10.0,0.006,0-49,48
MNIST,prune0.3,10.0,0.006,50-99,47
MNIST,prune0.3,10.0,0.007,0-49,44
MNIST,prune0.3,10.0,0.007,50-99,42
MNIST,prune0.3,10.0,0.008,0-49,21
MNIST,prune0.3,10.0,0.008,50-99,26
MNIST,prune0.3,20.0,0.006,0-49,38
MNIST,prune0.3,20.0,0.006,50-99,37
MNIST,prune0.3,20.0,0.007,0-49,16
MNIST,prune0.3,20.0,0.007,50-99,26
MNIST,prune0.3,20.0,0.008,0-49,1
MNIST,prune0.3,20.0,0.008,50-99,6
MNIST,prune0.3,30.0,0.006,0-49,48
MNIST,prune0.3,30.0,0.006,50-99,45
MNIST,prune0.3,30.0,0.007,0-49,44
MNIST,prune0.3,30.0,0.007,50-99,40
MNIST,prune0.3,30.0,0.008,0-49,23
MNIST,prune0.3,30.0,0.008,50-99,29
MNIST,prune0.3,40.0,0.006,0-49,46
MNIST,prune0.3,40.0,0.006,50-99,46
MNIST,prune0.3,40.0,0.007,0-49,32
MNIST,prune0.3,40.0,0.007,50-99,36
MNIST,prune0.3,40.0,0.008,0-49,6
MNIST,prune0.3,40.0,0.008,50-99,18
MNIST,prune0.3,50.0,0.006,0-49,35
MNIST,prune0.3,50.0,0.006,50-99,38
MNIST,prune0.3,50.0,0.007,0-49,16
MNIST,prune0.3,50.0,0.007,50-99,25
MNIST,prune0.3,50.0,0.008,0-49,0
MNIST,prune0.3,50.0,0.008,50-99,8
MNIST,prune0.3,60.0,0.006,0-49,50
MNIST,prune0.3,60.0,0.006,50-99,46
MNIST,prune0.3,60.0,0.007,0-49,43
MNIST,prune0.3,60.0,0.007,50-99,39
MNIST,prune0.3,60.0,0.008,0-49,9
MNIST,prune0.3,60.0,0.008,50-99,15
MNIST,prune0.3,70.0,0.006,0-49,25
MNIST,prune0.3,70.0,0.006,50-99,30
MNIST,prune0.3,70.0,0.007,0-49,2
MNIST,prune0.3,70.0,0.007,50-99,7
MNIST,prune0.3,70.0,0.008,0-49,0
MNIST,prune0.3,70.0,0.008,50-99,0
MNIST,prune0.3,80.0,0.006,0-49,27
MNIST,prune0.3,80.0,0.006,50-99,33
MNIST,prune0.3,80.0,0.007,0-49,1
MNIST,prune0.3,80.0,0.007,50-99,7
MNIST,prune0.3,80.0,0.008,0-49,0
MNIST,prune0.3,80.0,0.008,50-99,0
MNIST,prune0.3,90.0,0.006,0-49,47
MNIST,prune0.3,90.0,0.006,50-99,47
MNIST,prune0.3,90.0,0.007,0-49,35
MNIST,prune0.3,90.0,0.007,50-99,30
MNIST,prune0.3,90.0,0.008,0-49,11
MNIST,prune0.3,90.0,0.008,50-99,14
MNIST,prune0.3,100.0,0.006,0-49,47
MNIST,prune0.3,100.0,0.006,50-99,43
MNIST,prune0.3,100.0,0.007,0-49,24
MNIST,prune0.3,100.0,0.007,50-99,28
MNIST,prune0.3,100.0,0.008,0-49,6
MNIST,prune0.3,100.0,0.008,50-99,10
MNIST,prune0.4,10.0,0.006,0-49,47
MNIST,prune0.4,10.0,0.006,50-99,48
MNIST,prune0.4,10.0,0.007,0-49,43
MNIST,prune0.4,10.0,0.007,50-99,41
MNIST,prune0.4,10.0,0.008,0-49,23
MNIST,prune0.4,10.0,0.008,50-99,24
MNIST,prune0.4,20.0,0.006,0-49,41
MNIST,prune0.4,20.0,0.006,50-99,36
MNIST,prune0.4,20.0,0.007,0-49,19
MNIST,prune0.4,20.0,0.007,50-99,29
MNIST,prune0.4,20.0,0.008,0-49,2
MNIST,prune0.4,20.0,0.008,50-99,6
MNIST,prune0.4,30.0,0.006,0-49,46
MNIST,prune0.4,30.0,0.006,50-99,43
MNIST,prune0.4,30.0,0.007,0-49,31
MNIST,prune0.4,30.0,0.007,50-99,33
MNIST,prune0.4,30.0,0.008,0-49,8
MNIST,prune0.4,30.0,0.008,50-99,12
MNIST,prune0.4,40.0,0.006,0-49,46
MNIST,prune0.4,40.0,0.006,50-99,46
MNIST,prune0.4,40.0,0.007,0-49,35
MNIST,prune0.4,40.0,0.007,50-99,35
MNIST,prune0.4,40.0,0.008,0-49,9
MNIST,prune0.4,40.0,0.008,50-99,19
MNIST,prune0.4,50.0,0.006,0-49,31
MNIST,prune0.4,50.0,0.006,50-99,32
MNIST,prune0.4,50.0,0.007,0-49,12
MNIST,prune0.4,50.0,0.007,50-99,16
MNIST,prune0.4,50.0,0.008,0-49,0
MNIST,prune0.4,50.0,0.008,50-99,3
MNIST,prune0.4,60.0,0.006,0-49,51
MNIST,prune0.4,60.0,0.006,50-99,48
MNIST,prune0.4,60.0,0.007,0-49,50
MNIST,prune0.4,60.0,0.007,50-99,47
MNIST,prune0.4,60.0,0.008,0-49,42
MNIST,prune0.4,60.0,0.008,50-99,38
MNIST,prune0.4,70.0,0.006,0-49,42
MNIST,prune0.4,70.0,0.006,50-99,42
MNIST,prune0.4,70.0,0.007,0-49,17
MNIST,prune0.4,70.0,0.007,50-99,22
MNIST,prune0.4,70.0,0.008,0-49,1
MNIST,prune0.4,70.0,0.008,50-99,5
MNIST,prune0.4,80.0,0.006,0-49,27
MNIST,prune0.4,80.0,0.006,50-99,33
MNIST,prune0.4,80.0,0.007,0-49,4
MNIST,prune0.4,80.0,0.007,50-99,10
MNIST,prune0.4,80.0,0.008,0-49,0
MNIST,prune0.4,80.0,0.008,50-99,0
MNIST,prune0.4,90.0,0.006,0-49,45
MNIST,prune0.4,90.0,0.006,50-99,47
MNIST,prune0.4,90.0,0.007,0-49,34
MNIST,prune0.4,90.0,0.007,50-99,31
MNIST,prune0.4,90.0,0.008,0-49,10
MNIST,prune0.4,90.0,0.008,50-99,10
MNIST,prune0.4,100.0,0.006,0-49,47
MNIST,prune0.4,100.0,0.006,50-99,46
MNIST,prune0.4,100.0,0.007,0-49,46
MNIST,prune0.4,100.0,0.007,50-99,42
MNIST,prune0.4,100.0,0.008,0-49,16
MNIST,prune0.4,100.0,0.008,50-99,23
MNIST,prune0.5,10.0,0.006,0-49,46
MNIST,prune0.5,10.0,0.006,50-99,49
MNIST,prune0.5,10.0,0.007,0-49,43
MNIST,prune0.5,10.0,0.007,50-99,40
MNIST,prune0.5,10.0,0.008,0-49,22
MNIST,prune0.5,10.0,0.008,50-99,25
MNIST,prune0.5,20.0,0.006,0-49,40
MNIST,prune0.5,20.0,0.006,50-99,40
MNIST,prune0.5,20.0,0.007,0-49,15
MNIST,prune0.5,20.0,0.007,50-99,24
MNIST,prune0.5,20.0,0.008,0-49,0
MNIST,prune0.5,20.0,0.008,50-99,2
MNIST,prune0.5,30.0,0.006,0-49,48
MNIST,prune0.5,30.0,0.006,50-99,45
MNIST,prune0.5,30.0,0.007,0-49,39
MNIST,prune0.5,30.0,0.007,50-99,37
MNIST,prune0.5,30.0,0.008,0-49,18
MNIST,prune0.5,30.0,0.008,50-99,26
MNIST,prune0.5,40.0,0.006,0-49,47
MNIST,prune0.5,40.0,0.006,50-99,46
MNIST,prune0.5,40.0,0.007,0-49,30
MNIST,prune0.5,40.0,0.007,50-99,36
MNIST,prune0.5,40.0,0.008,0-49,7
MNIST,prune0.5,40.0,0.008,50-99,17
MNIST,prune0.5,50.0,0.006,0-49,33
MNIST,prune0.5,50.0,0.006,50-99,34
MNIST,prune0.5,50.0,0.007,0-49,19
MNIST,prune0.5,50.0,0.007,50-99,23
MNIST,prune0.5,50.0,0.008,0-49,0
MNIST,prune0.5,50.0,0.008,50-99,4
MNIST,prune0.5,60.0,0.006,0-49,50
MNIST,prune0.5,60.0,0.006,50-99,48
MNIST,prune0.5,60.0,0.007,0-49,44
MNIST,prune0.5,60.0,0.007,50-99,41
MNIST,prune0.5,60.0,0.008,0-49,26
MNIST,prune0.5,60.0,0.008,50-99,29
MNIST,prune0.5,70.0,0.006,0-49,41
MNIST,prune0.5,70.0,0.006,50-99,42
MNIST,prune0.5,70.0,0.007,0-49,15
MNIST,prune0.5,70.0,0.007,50-99,19
MNIST,prune0.5,70.0,0.008,0-49,1
MNIST,prune0.5,70.0,0.008,50-99,3
MNIST,prune0.5,80.0,0.006,0-49,24
MNIST,prune0.5,80.0,0.006,50-99,33
MNIST,prune0.5,80.0,0.007,0-49,5
MNIST,prune0.5,80.0,0.007,50-99,11
MNIST,prune0.5,80.0,0.008,0-49,0
MNIST,prune0.5,80.0,0.008,50-99,1
MNIST,prune0.5,90.0,0.006,0-49,43
MNIST,prune0.5,90.0,0.006,50-99,45
MNIST,prune0.5,90.0,0.007,0-49,26
MNIST,prune0.5,90.0,0.007,50-99,22
MNIST,prune0.5,90.0,0.008,0-49,2
MNIST,prune0.5,90.0,0.008,50-99,5
MNIST,prune0.5,100.0,0.006,0-49,47
MNIST,prune0.5,100.0,0.006,50-99,44
MNIST,prune0.5,100.0,0.007,0-49,27
MNIST,prune0.5,100.0,0.007,50-99,31
MNIST,prune0.5,100.0,0.008,0-49,4
MNIST,prune0.5,100.0,0.008,50-99,5
MNIST,prune0.6,10.0,0.006,0-49,47
MNIST,prune0.6,10.0,0.006,50-99,48
MNIST,prune0.6,10.0,0.007,0-49,34
MNIST,prune0.6,10.0,0.007,50-99,33
MNIST,prune0.6,10.0,0.008,0-49,12
MNIST,prune0.6,10.0,0.008,50-99,23
MNIST,prune0.6,20.0,0.006,0-49,44
MNIST,prune0.6,20.0,0.006,50-99,42
MNIST,prune0.6,20.0,0.007,0-49,26
MNIST,prune0.6,20.0,0.007,50-99,28
MNIST,prune0.6,20.0,0.008,0-49,4
MNIST,prune0.6,20.0,0.008,50-99,10
MNIST,prune0.6,30.0,0.006,0-49,46
MNIST,prune0.6,30.0,0.006,50-99,44
MNIST,prune0.6,30.0,0.007,0-49,39
MNIST,prune0.6,30.0,0.007,50-99,39
MNIST,prune0.6,30.0,0.008,0-49,13
MNIST,prune0.6,30.0,0.008,50-99,20
MNIST,prune0.6,40.0,0.006,0-49,23
MNIST,prune0.6,40.0,0.006,50-99,30
MNIST,prune0.6,40.0,0.007,0-49,5
MNIST,prune0.6,40.0,0.007,50-99,6
MNIST,prune0.6,40.0,0.008,0-49,0
MNIST,prune0.6,40.0,0.008,50-99,0
MNIST,prune0.6,50.0,0.006,0-49,30
MNIST,prune0.6,50.0,0.006,50-99,32
MNIST,prune0.6,50.0,0.007,0-49,11
MNIST,prune0.6,50.0,0.007,50-99,18
MNIST,prune0.6,50.0,0.008,0-49,0
MNIST,prune0.6,50.0,0.008,50-99,3
MNIST,prune0.6,60.0,0.006,0-49,47
MNIST,prune0.6,60.0,0.006,50-99,45
MNIST,prune0.6,60.0,0.007,0-49,42
MNIST,prune0.6,60.0,0.007,50-99,39
MNIST,prune0.6,60.0,0.008,0-49,20
MNIST,prune0.6,60.0,0.008,50-99,28
MNIST,prune0.6,70.0,0.006,0-49,22
MNIST,prune0.6,70.0,0.006,50-99,27
MNIST,prune0.6,70.0,0.007,0-49,4
MNIST,prune0.6,70.0,0.007,50-99,8
MNIST,prune0.6,70.0,0.008,0-49,0
MNIST,prune0.6,70.0,0.008,50-99,1
MNIST,prune0.6,80.0,0.006,0-49,22
MNIST,prune0.6,80.0,0.006,50-99,32
MNIST,prune0.6,80.0,0.007,0-49,2
MNIST,prune0.6,80.0,0.007,50-99,9
MNIST,prune0.6,80.0,0.008,0-49,0
MNIST,prune0.6,80.0,0.008,50-99,0
MNIST,prune0.6,90.0,0.006,0-49,44
MNIST,prune0.6,90.0,0.006,50-99,46
MNIST,prune0.6,90.0,0.007,0-49,26
MNIST,prune0.6,90.0,0.007,50-99,26
MNIST,prune0.6,90.0,0.008,0-49,8
MNIST,prune0.6,90.0,0.008,50-99,9
MNIST,prune0.6,100.0,0.006,0-49,43
MNIST,prune0.6,100.0,0.006,50-99,41
MNIST,prune0.6,100.0,0.007,0-49,22
MNIST,prune0.6,100.0,0.007,50-99,25
MNIST,prune0.6,100.0,0.008,0-49,1
MNIST,prune0.6,100.0,0.008,50-99,3
MNIST,prune0.7,10.0,0.006,0-49,46
MNIST,prune0.7,10.0,0.006,50-99,39
MNIST,prune0.7,10.0,0.007,0-49,27
MNIST,prune0.7,10.0,0.007,50-99,26
MNIST,prune0.7,10.0,0.008,0-49,6
MNIST,prune0.7,10.0,0.008,50-99,14
MNIST,prune0.7,20.0,0.006,0-49,38
MNIST,prune0.7,20.0,0.006,50-99,35
MNIST,prune0.7,20.0,0.007,0-49,14
MNIST,prune0.7,20.0,0.007,50-99,22
MNIST,prune0.7,20.0,0.008,0-49,2
MNIST,prune0.7,20.0,0.008,50-99,6
MNIST,prune0.7,30.0,0.006,0-49,45
MNIST,prune0.7,30.0,0.006,50-99,45
MNIST,prune0.7,30.0,0.007,0-49,41
MNIST,prune0.7,30.0,0.007,50-99,36
MNIST,prune0.7,30.0,0.008,0-49,12
MNIST,prune0.7,30.0,0.008,50-99,18
MNIST,prune0.7,40.0,0.006,0-49,29
MNIST,prune0.7,40.0,0.006,50-99,32
MNIST,prune0.7,40.0,0.007,0-49,7
MNIST,prune0.7,40.0,0.007,50-99,18
MNIST,prune0.7,40.0,0.008,0-49,0
MNIST,prune0.7,40.0,0.008,50-99,2
MNIST,prune0.7,50.0,0.006,0-49,29
MNIST,prune0.7,50.0,0.006,50-99,28
MNIST,prune0.7,50.0,0.007,0-49,12
MNIST,prune0.7,50.0,0.007,50-99,17
MNIST,prune0.7,50.0,0.008,0-49,1
MNIST,prune0.7,50.0,0.008,50-99,6
MNIST,prune0.7,60.0,0.006,0-49,48
MNIST,prune0.7,60.0,0.006,50-99,47
MNIST,prune0.7,60.0,0.007,0-49,38
MNIST,prune0.7,60.0,0.007,50-99,37
MNIST,prune0.7,60.0,0.008,0-49,16
MNIST,prune0.7,60.0,0.008,50-99,23
MNIST,prune0.7,70.0,0.006,0-49,14
MNIST,prune0.7,70.0,0.006,50-99,22
MNIST,prune0.7,70.0,0.007,0-49,1
MNIST,prune0.7,70.0,0.007,50-99,4
MNIST,prune0.7,70.0,0.008,0-49,0
MNIST,prune0.7,70.0,0.008,50-99,0
MNIST,prune0.7,80.0,0.006,0-49,15
MNIST,prune0.7,80.0,0.006,50-99,22
MNIST,prune0.7,80.0,0.007,0-49,0
MNIST,prune0.7,80.0,0.007,50-99,5
MNIST,prune0.7,80.0,0.008,0-49,0
MNIST,prune0.7,80.0,0.008,50-99,0
MNIST,prune0.7,90.0,0.006,0-49,33
MNIST,prune0.7,90.0,0.006,50-99,33
MNIST,prune0.7,90.0,0.007,0-49,9
MNIST,prune0.7,90.0,0.007,50-99,12
MNIST,prune0.7,90.0,0.008,0-49,0
MNIST,prune0.7,90.0,0.008,50-99,2
MNIST,prune0.7,100.0,0.006,0-49,28
MNIST,prune0.7,100.0,0.006,50-99,31
MNIST,prune0.7,100.0,0.007,0-49,3
MNIST,prune0.7,100.0,0.007,50-99,7
MNIST,prune0.7,100.0,0.008,0-49,0
MNIST,prune0.7,100.0,0.008,50-99,0
MNIST,prune0.8,10.0,0.006,0-49,34
MNIST,prune0.8,10.0,0.006,50-99,30
MNIST,prune0.8,10.0,0.007,0-49,8
MNIST,prune0.8,10.0,0.007,50-99,16
MNIST,prune0.8,10.0,0.008,0-49,0
MNIST,prune0.8,10.0,0.008,50-99,2
MNIST,prune0.8,20.0,0.006,0-49,12
MNIST,prune0.8,20.0,0.006,50-99,22
MNIST,prune0.8,20.0,0.007,0-49,1
MNIST,prune0.8,20.0,0.007,50-99,4
MNIST,prune0.8,20.0,0.008,0-49,0
MNIST,prune0.8,20.0,0.008,50-99,0
MNIST,prune0.8,30.0,0.006,0-49,24
MNIST,prune0.8,30.0,0.006,50-99,29
MNIST,prune0.8,30.0,0.007,0-49,5
MNIST,prune0.8,30.0,0.007,50-99,8
MNIST,prune0.8,30.0,0.008,0-49,0
MNIST,prune0.8,30.0,0.008,50-99,0
MNIST,prune0.8,40.0,0.006,0-49,16
MNIST,prune0.8,40.0,0.006,50-99,23
MNIST,prune0.8,40.0,0.007,0-49,1
MNIST,prune0.8,40.0,0.007,50-99,4
MNIST,prune0.8,40.0,0.008,0-49,0
MNIST,prune0.8,40.0,0.008,50-99,0
MNIST,prune0.8,50.0,0.006,0-49,21
MNIST,prune0.8,50.0,0.006,50-99,23
MNIST,prune0.8,50.0,0.007,0-49,5
MNIST,prune0.8,50.0,0.007,50-99,6
MNIST,prune0.8,50.0,0.008,0-49,0
MNIST,prune0.8,50.0,0.008,50-99,1
MNIST,prune0.8,60.0,0.006,0-49,36
MNIST,prune0.8,60.0,0.006,50-99,36
MNIST,prune0.8,60.0,0.007,0-49,18
MNIST,prune0.8,60.0,0.007,50-99,28
MNIST,prune0.8,60.0,0.008,0-49,4
MNIST,prune0.8,60.0,0.008,50-99,10
MNIST,prune0.8,70.0,0.006,0-49,9
MNIST,prune0.8,70.0,0.006,50-99,15
MNIST,prune0.8,70.0,0.007,0-49,0
MNIST,prune0.8,70.0,0.007,50-99,1
MNIST,prune0.8,70.0,0.008,0-49,0
MNIST,prune0.8,70.0,0.008,50-99,0
MNIST,prune0.8,80.0,0.006,0-49,35
MNIST,prune0.8,80.0,0.006,50-99,36
MNIST,prune0.8,80.0,0.007,0-49,7
MNIST,prune0.8,80.0,0.007,50-99,13
MNIST,prune0.8,80.0,0.008,0-49,0
MNIST,prune0.8,80.0,0.008,50-99,1
MNIST,prune0.8,90.0,0.006,0-49,22
MNIST,prune0.8,90.0,0.006,50-99,22
MNIST,prune0.8,90.0,0.007,0-49,2
MNIST,prune0.8,90.0,0.007,50-99,6
MNIST,prune0.8,90.0,0.008,0-49,0
MNIST,prune0.8,90.0,0.008,50-99,0
MNIST,prune0.8,100.0,0.006,0-49,32
MNIST,prune0.8,100.0,0.006,50-99,35
MNIST,prune0.8,100.0,0.007,0-49,15
MNIST,prune0.8,100.0,0.007,50-99,18
MNIST,prune0.8,100.0,0.008,0-49,1
MNIST,prune0.8,100.0,0.008,50-99,2
